name,date,cases,hospitalizations,deaths,level
New Haven,2020-05-13,9712,394,767,county
New London,2020-05-13,821,24,62,county
Tolland,2020-05-13,568,3,51,county
Windham,2020-05-13,291,6,11,county
Connecticut,2020-05-14,36085,1033,3285,state
Fairfield,2020-05-14,14009,342,1109,county
Hartford,2020-05-14,8126,248,1025,county
Litchfield,2020-05-14,1218,14,115,county
Middlesex,2020-05-14,885,32,124,county
New Haven,2020-05-14,9881,367,783,county
New London,2020-05-14,844,24,63,county
Tolland,2020-05-14,583,1,51,county
Windham,2020-05-14,301,5,12,county
Connecticut,2020-05-15,36703,994,3339,state
Fairfield,2020-05-15,14140,330,1125,county
Hartford,2020-05-15,8299,243,1044,county
Litchfield,2020-05-15,1234,10,116,county
Middlesex,2020-05-15,898,29,124,county
New Haven,2020-05-15,10075,352,800,county
New London,2020-05-15,860,24,65,county
Tolland,2020-05-15,636,1,51,county
Windham,2020-05-15,304,5,12,county
Connecticut,2020-05-16,37419,937,3408,state
Fairfield,2020-05-16,14248,299,1146,county
Hartford,2020-05-16,8723,234,1069,county
Litchfield,2020-05-16,1269,10,116,county
Middlesex,2020-05-16,909,32,125,county
New Haven,2020-05-16,10159,336,817,county
New London,2020-05-16,873,22,66,county
Tolland,2020-05-16,715,1,54,county
Windham,2020-05-16,313,3,14,county
Connecticut,2020-05-17,38116,920,3449,state
Fairfield,2020-05-17,14439,287,1153,county
Hartford,2020-05-17,8957,235,1084,county
Litchfield,2020-05-17,1280,10,115,county
Middlesex,2020-05-17,936,32,131,county
New Haven,2020-05-17,10338,331,830,county
New London,2020-05-17,876,21,66,county
Tolland,2020-05-17,735,1,54,county
Windham,2020-05-17,322,3,14,county
Connecticut,2020-05-18,38430,914,3472,state
Fairfield,2020-05-18,14522,287,1160,county
Hartford,2020-05-18,9050,226,1090,county
Litchfield,2020-05-18,1290,11,117,county
Middlesex,2020-05-18,947,35,131,county
New Haven,2020-05-18,10427,327,838,county
New London,2020-05-18,880,24,66,county
Tolland,2020-05-18,770,1,54,county
Windham,2020-05-18,326,3,14,county
Connecticut,2020-05-19,39017,887,3529,state
Fairfield,2020-05-19,14719,272,1167,county
Hartford,2020-05-19,9234,222,1116,county
Litchfield,2020-05-19,1299,7,121,county
Middlesex,2020-05-19,965,33,131,county
New Haven,2020-05-19,10587,326,855,county
New London,2020-05-19,896,24,68,county
Tolland,2020-05-19,786,0,55,county
Windham,2020-05-19,329,3,14,county
Connecticut,2020-05-20,39208,816,3582,state
Fairfield,2020-05-20,14751,241,1180,county
Hartford,2020-05-20,9299,214,1133,county
Litchfield,2020-05-20,1303,7,121,county
Middlesex,2020-05-20,972,28,130,county
New Haven,2020-05-20,10663,301,874,county
New London,2020-05-20,903,22,73,county
Tolland,2020-05-20,787,0,55,county
Windham,2020-05-20,336,3,14,county
Connecticut,2020-05-21,39640,740,3637,state
Fairfield,2020-05-21,14889,226,1195,county
Hartford,2020-05-21,9463,184,1155,county
